X (RT/min),Y (Intensity)
17.18,48967.100229532436
17.19,48967.100229532436
17.21,48967.100229532436
17.22,61208.87528691732
17.23,61208.87528691732
17.24,61208.87528691732
17.25,48967.100229532436
17.26,48967.100229532436
17.27,36725.32517214933
17.28,36725.32517214933
17.3,36725.32517214933
17.31,36725.32517214933
17.32,36725.32517214933
17.33,36725.32517214933
17.34,36725.32517214933
17.35,342769.7016067324
17.36,342769.7016067324
17.37,342769.7016067324
17.38,342769.7016067324
17.4,342769.7016067324
17.41,330527.9265493493
17.42,318286.15149196616
17.43,281560.8263198168
17.44,48967.100229532436
17.45,61208.87528691732
17.46,97934.20045906665
17.47,342769.7016067324
17.49,355011.4766641155
17.5,355011.4766641155
17.51,367253.25172150036
17.52,367253.25172150036
17.53,355011.4766641155
17.54,355011.4766641155
17.55,146901.3006885991
17.56,61208.87528691732
17.58,36725.32517214933
17.59,24483.550114766218
17.6,24483.550114766218
17.61,24483.550114766218
17.62,24483.550114766218
17.63,24483.550114766218
17.64,24483.550114766218
17.65,12241.775057383109
17.67,12241.775057383109
17.68,24483.550114766218
17.69,24483.550114766218
17.7,24483.550114766218
17.71,24483.550114766218
17.72,24483.550114766218
17.73,24483.550114766218
17.74,24483.550114766218
17.76,36725.32517214933
17.77,36725.32517214933
17.78,36725.32517214933
17.79,36725.32517214933
17.8,24483.550114766218
17.81,24483.550114766218
17.82,24483.550114766218
17.83,24483.550114766218
17.85,24483.550114766218
17.86,24483.550114766218
17.87,24483.550114766218
17.88,24483.550114766218
17.89,12241.775057383109
17.9,24483.550114766218
17.91,36725.32517214933
17.92,73450.65034430043
17.93,122417.75057383286
17.95,171384.85080336707
17.96,208110.1759755164
17.97,220351.9510328995
17.98,220351.9510328995
17.99,232593.7260902826
18.0,232593.7260902826
18.01,220351.9510328995
18.02,220351.9510328995
18.04,208110.1759755164
18.05,97934.20045906665
18.06,24483.550114766218
18.07,12241.775057383109
18.08,12241.775057383109
18.09,12241.775057383109
18.1,24483.550114766218
18.11,24483.550114766218
18.13,24483.550114766218
18.14,36725.32517214933
18.15,36725.32517214933
18.16,24483.550114766218
18.17,24483.550114766218
18.18,24483.550114766218
18.19,24483.550114766218
18.2,24483.550114766218
18.22,12241.775057383109
18.23,12241.775057383109
18.24,12241.775057383109
18.25,12241.775057383109
18.26,24483.550114766218
18.27,24483.550114766218
18.28,24483.550114766218
18.29,24483.550114766218
18.31,24483.550114766218
18.32,24483.550114766218
18.33,36725.32517214933
18.34,36725.32517214933
18.35,36725.32517214933
18.36,36725.32517214933
18.37,36725.32517214933
18.38,36725.32517214933
18.4,36725.32517214933
18.41,36725.32517214933
18.42,36725.32517214933
18.43,36725.32517214933
18.44,61208.87528691732
18.45,73450.65034430043
18.46,97934.20045906665
18.47,110175.97551644975
18.48,195868.4009181333
18.5,1836266.2586074984
18.51,5141545.524100995
18.52,7026778.882938026
18.53,10564651.874521805
18.54,13074215.761285387
18.55,14371843.917368019
18.56,14396327.467482785
18.57,14408569.242540168
18.59,14420811.017597552
18.6,14408569.242540168
18.61,14408569.242540168
18.62,14396327.467482785
18.63,14298393.267023718
18.64,13637337.41392502
18.65,12192807.957153788
18.66,9413925.019127773
18.68,6879877.582249426
18.69,3464422.3412394803
18.7,171384.85080336707
18.71,171384.85080336707
18.72,171384.85080336707
18.73,171384.85080336707
18.74,159143.07574598395
18.75,159143.07574598395
18.77,110175.97551644975
18.78,110175.97551644975
18.79,97934.20045906665
18.8,97934.20045906665
18.81,73450.65034430043
18.82,48967.100229532436
18.83,36725.32517214933
18.84,36725.32517214933
18.86,36725.32517214933
18.87,36725.32517214933
18.88,36725.32517214933
18.89,36725.32517214933
18.9,36725.32517214933
18.91,36725.32517214933
18.92,36725.32517214933
18.93,36725.32517214933
18.95,36725.32517214933
18.96,48967.100229532436
18.97,61208.87528691732
18.98,61208.87528691732
18.99,61208.87528691732
19.0,61208.87528691732
19.01,61208.87528691732
19.02,48967.100229532436
19.03,36725.32517214933
19.05,36725.32517214933
19.06,24483.550114766218
19.07,24483.550114766218
19.08,24483.550114766218
19.09,24483.550114766218
19.1,36725.32517214933
